"filename", "language", "JavaScript", "JavaScript JSX", "TypeScript JSX", "PostCSS", "JSON", "XML", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/drawer.jsx", "JavaScript JSX", 0, 120, 0, 0, 0, 0, 0, 0, 0, 14, 134
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/dropdown-menu.jsx", "JavaScript JSX", 0, 205, 0, 0, 0, 0, 0, 0, 0, 19, 224
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/form.jsx", "JavaScript JSX", 0, 123, 0, 0, 0, 0, 0, 0, 0, 22, 145
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/hover-card.jsx", "JavaScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/input-otp.jsx", "JavaScript JSX", 0, 65, 0, 0, 0, 0, 0, 0, 0, 9, 74
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/input.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/label.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/menubar.jsx", "JavaScript JSX", 0, 233, 0, 0, 0, 0, 0, 0, 0, 20, 253
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/navigation-menu.jsx", "JavaScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 0, 12, 153
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/pagination.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 0, 10, 119
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/popover.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/progress.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/radio-group.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/resizable.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/scroll-area.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 52
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/select.jsx", "JavaScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 0, 14, 167
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/separator.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/sheet.jsx", "JavaScript JSX", 0, 127, 0, 0, 0, 0, 0, 0, 0, 14, 141
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/sidebar.jsx", "JavaScript JSX", 0, 618, 0, 0, 0, 0, 0, 0, 12, 53, 683
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/skeleton.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/slider.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/sonner.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/switch.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/table.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 0, 0, 0, 12, 124
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/tabs.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/textarea.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/toggle-group.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 7, 62
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/toggle.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 6, 46
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/components/ui/tooltip.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/config/squad-fields.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/hooks/use-mobile.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Applications/XAMPP/xamppfiles/htdocs/brikwars-army-generator/src/lib/utils.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"Total", "-", 685, 4226, 9, 135, 7633, 5, 8, 2, 24, 566, 13293
